,RespondentID,Sexo,Idade,Graduacao,Graduacao_Outro,IES_Graduacao,Lato1,Lato2,Lato3,Lato4,Lato5,IES_Lato1,IES_Lato2,IES_Lato3,IES_Lato4,IES_Lato5,Destino_Profissional,Destino_Profissional_Outro,MESTRADO_IES,MESTRADO_IES_Outro,Area_Mestrado,Atuacao_Docente_Antes_Mestrado,Tempo_Entre_Graduacao_Mestrado,Regime_Dedicacao_Mestrado,Atuacao_Docente_Durante_Mestrado,Tipo_IES_Atuacao_Mestrado,Regime_Dedicacao_Docente_Mestrado,Tempo_Atuacao_Docente_Mestrado,Mestrado_Ativ_Aprendizagem_Pesq_Cientifica,Mestrado_Ativ_Aprendizagem_Sala_Aula,Mestrado_Ativ_Aprendizagem_Leitura,Mestrado_Ativ_Aprendizagem_Estagio,Mestrado_Ativ_Aprendizagem_Informais,Mestrado_Ativ_Aprendizagem_Outros,DOUTORADO_IES,DOUTORADO_IES_Outro,Area_Doutorado,Atuacao_Docente_Antes_Doutorado,Tempo_Entre_Mestrado_Doutorado,Regime_Dedicacao_Doutorado,Atuacao_Docente_Durante_Doutorado,Tipo_IES_Atuacao_Doutorado,Regime_Dedicacao_Docente_Doutorado,Tempo_Atuacao_Docente,Doutorado_Ativ_Aprendizagem_Pesq_Cientifica,Doutorado_Ativ_Aprendizagem_Sala_Aula,Doutorado_Ativ_Aprendizagem_Leitura,Doutorado_Ativ_Aprendizagem_Estagio,Doutorado_Ativ_Aprendizagem_Informais,Doutorado_Ativ_Aprendizagem_Outros,APC1,APC2,APC3,APC4,APC5,APC_OUTRO,ADSA1,ADSA2,ADSA3,ADSA4,ADSA_OUTRO,ALAT1,ALAT2,ALAT3,ALAT4,ALAT_OUTRO,AEE1,AEE2,AEE3,AEE_OUTRO,AI1,AI2,AI_OUTRO,AD1,AD2,AD3,AD4,AD_OUTRO,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,Fat1,Fat2,Fat3,Fat4,Fat5,Fat6
10,1797431585,2,30,1,,2,Gestão Pública,MBA em Controladoria e Finanças,,,,FUCAMP,FUCAMP,,,,2,,3,,Administração,1,3,1,1,"2,0","1,0","2,0",,"2,0","3,0","4,0","5,0",,,,,,,,,,,,,,,,,,"4,0","3,0","5,0","5,0","1,0",,"5,0","4,0","4,0","5,0",,"5,0","4,0","4,0","5,0",,"5,0","5,0","3,0",,"4,0","1,0",,"3,0","4,0","1,0","1,0",,"4,0","4,0","4,0","5,0","5,0","4,0","4,0","5,0","5,0","5,0","4,0","5,0","4,0","4,0","5,0","5,0","4,0","5,0","5,0","4,0","5,0","5,0","5,0","4,0","-0,14552573724929768","0,04402572857591828","-0,3797265971121255","-1,3157200782859666","0,49810776530331896","1,5381618547549751","2,2294664461215903","0,5338270205877653","-0,793166958600535","0,5935261431032757","-0,41710627701208364","1,015106521229093","0,5956061055499201"
11,1796437947,1,29,0,educação Física,2,Lazer e educação,,,,,Universidade Federal de Belo Horizonte,,,,,1,,1,,Administração,1,3,1,2,"2,0","3,0","2,0","1,0","2,0","3,0","4,0",,,,,,,,,,,,,,,,,,,"4,0","4,0","4,0","3,0","3,0",,"5,0","5,0","5,0","3,0",,"4,0","4,0","4,0","4,0",,"3,0","3,0","3,0",,"4,0","4,0",,"4,0","4,0","1,0","1,0",,"4,0","3,0","4,0","4,0","3,0","4,0","4,0","3,0","5,0","5,0","5,0","5,0","4,0","4,0","4,0","5,0","4,0","4,0","5,0","5,0","5,0","4,0","4,0","3,0","0,9061554805894984","0,02922963095109617","0,4627970480634069","-0,41298298838920317","-0,3666015313068752","-1,0350575438372447","1,3148798016172032","0,6973792345185191","-0,29960572209605396","0,04575229526323425","0,2601053217936721","-1,0692119093579604","1,5013100099870424"
12,1795989999,1,42,1,,2,,,,,,,,,,,4,,1,,Mestrado Acadêmico em Administração,3,1,2,3,,,,"1,0","2,0",,,"5,0",,,,,,,,,,,,,,,,,,"4,0","4,0","4,0","4,0","4,0",,"4,0","4,0","4,0","4,0",,"3,0","4,0","4,0","4,0",,"4,0","3,0","1,0",,"4,0","1,0",,"3,0","4,0","1,0","4,0",,"5,0","4,0","5,0","4,0","4,0","3,0","3,0","4,0","4,0","3,0","4,0","3,0","4,0","4,0","3,0","4,0","4,0","4,0","4,0","2,0","5,0","4,0","4,0","4,0","-0,597044106406108","1,0200421865139768","0,16752064789261345","0,5657412612623132","-0,7160863722403482","0,11661726903388235","-0,13751550618149488","-0,9296670453593929","0,5092894930581425","0,9541486558487693","0,02904420510903291","0,10793244877314372","0,4841078443109288"
13,1794554379,2,54,2,,2,Comércio Exterior e Gestão de Negócios Internacionais,,,,,Fundação Getúlio Vargas RJ,,,,,2,,1,,Administração,1,5,1,1,"2,0","1,0","3,0","1,0","2,0","3,0",,,,,,,,,,,,,,,,,,,,"2,0","2,0","5,0","5,0","2,0",,"4,0","4,0","4,0","4,0",,"4,0","3,0","3,0","2,0",,"1,0","4,0","1,0",,"2,0","2,0",,"5,0","5,0","1,0","1,0",,"4,0","4,0","3,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","3,0","2,0","5,0","4,0","3,0","5,0","5,0","5,0","3,0","-1,430844861508487","-1,8853424512629646","0,7870153426348496","-0,6206991986750741","-0,1899503744398585","1,5568123332250952","0,9602251600038386","-1,059851387458739","-0,31387976519524985","-1,5648189985177658","0,7322387969256227","0,985249997975289","0,19930705310804614"
14,1794059604,1,32,1,,2,Psicologia do Trânsito,,,,,UEMG - Funedi,,,,,3,,1,,Psicologia,2,4,1,3,,,,,,"3,0",,"5,0",,,,,,,,,,,,,,,,,,"3,0","4,0","4,0","4,0","2,0",,"4,0","3,0","4,0","3,0",,"4,0","4,0","4,0","4,0",,"3,0","1,0","2,0",,"3,0","3,0",,"4,0","4,0","1,0","1,0",,"4,0","5,0","4,0","4,0","4,0","4,0","5,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","5,0",,"3,0","4,0","4,0","4,0","-0,5393571681018808","-0,15191422263500742","0,5160159283215556","-0,5608536429478758","-0,7073449202125279","0,2650146156935662","0,11673262161362508","-0,8397870346261563","-0,6985089036271879","-0,21539271474032046","0,3681088022631371","0,37658604031195286","0,7069464144937603"
15,1793233683,1,32,1,,2,gestão estratégica em negócios,,,,,UFMG,,,,,2,,1,,Administração,2,4,1,2,"2,0","1,0","1,0","1,0","2,0","3,0","4,0",,,,,,,,,,,,,,,,,,,"2,0","4,0","4,0","5,0","2,0",,"4,0","4,0","5,0","3,0",,"4,0","4,0","4,0","4,0",,"1,0","4,0","1,0",,"5,0","5,0",,"3,0","3,0","1,0","1,0",,"3,0","3,0","4,0","3,0","4,0","3,0","3,0","4,0","3,0","3,0","3,0","3,0","4,0","3,0","4,0","3,0","3,0","4,0","3,0","2,0","3,0","3,0","3,0","3,0","-0,4427979152013836","-1,6477530913022196","0,6186279949059119","0,2173691987727511","1,496370423341333","0,3590376616658356","-0,13656050054971586","0,22593659902658988","0,3699438603750957","-1,3670144274060079","1,188838163077932","0,04748977724523353","-1,1983621945370015"
16,1793175171,1,25,1,,2,,,,,,,,,,,5,,1,,Administração,2,1,1,2,"2,0","1,0","1,0","1,0","2,0","3,0","4,0","5,0",,,,,,,,,,,,,,,,,,"3,0","4,0","5,0","4,0","3,0",,"5,0","5,0","5,0","5,0",,"5,0","5,0","5,0","5,0",,"3,0","3,0","1,0",,"5,0","5,0",,"3,0","3,0","1,0","1,0",,"5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","1,173470997587459","-0,4525178306237119","0,48412803062469223","-0,32874610544688154","0,9856376834343232","0,7214022475934129","-0,7858194817939413","1,3530368671869897","-0,3771445708660852","-0,5257893721882694","0,941472354539942","0,7961856169826803","-0,8446198082164809"
17,1793173565,1,26,1,,2,,,,,,,,,,,2,,1,,Administração,2,1,2,2,"2,0","1,0","1,0","1,0","2,0","3,0","4,0","5,0",,,,,,,,,,,,,,,,,,"5,0","4,0","5,0","5,0","4,0",,"4,0","4,0","4,0","4,0",,"5,0","5,0","4,0","5,0",,"4,0","5,0","3,0",,"4,0","4,0",,"4,0","5,0","2,0","3,0",,"5,0","4,0","5,0","4,0","5,0","5,0","4,0","5,0","5,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","5,0","4,0","4,0","4,0","4,0","4,0","5,0","-0,8071171164660215","0,9054119748506817","0,6157493421209078","0,5657790103481133","0,7061953447144502","0,9536323844491357","1,5076342537880405","-0,2226287425240716","0,9230472348377146","1,3766528379999377","0,6943015452418364","0,5942004192757654","0,3811548153037938"
18,1792970609,1,32,2,,2,Gestão de Negócios,Controladoria e Finanças,,,,PUC MINAS,UFMG,,,,2,,1,,Finanças,2,3,1,3,,,,"1,0",,"3,0",,,,,,,,,,,,,,,,,,,,"4,0","4,0","3,0","3,0","4,0",,"4,0","3,0","4,0","4,0",,"4,0","4,0","4,0","4,0",,"2,0","2,0","2,0",,"3,0","3,0",,"2,0","3,45","1,0","1,0",,"3,0","4,0","4,0","4,0","3,0","4,0","4,0","4,0","3,0","3,0","4,0","4,0","4,0","4,0","4,0","4,0","3,0","3,0","4,0","2,0","4,0","4,0","5,0","5,0",,,,,,,,"-0,7578954602772603","-0,46519646651994356","0,6263582904811488","0,17532774192216516","-1,07079430540132","0,04516434061041036"
19,1792792867,2,35,5,,2,Adminstraçao Estrategica em Mkt e Gesto de Pessoas,Adminstraçao Estrategica em Mkt e Gesto de Pessoas,,,,Universidade de Buenos Aires,Unilago,,,,5,,1,Administração,Administração,2,4,1,2,"2,0","2,0","1,0","1,0","2,0","3,0","4,0",,,,,,,,,,,,,,,,,,,"5,0","5,0","3,0","1,0","5,0",,"5,0","5,0","5,0","3,0",,"4,0","3,0","4,0","5,0",,"3,0","3,0","3,0",,"5,0","5,0",,"5,0","5,0","3,0","3,0",,"5,0","5,0","4,0","5,0","5,0","5,0","5,0","4,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","4,0","4,0","5,0","3,0","5,0","5,0","5,0","4,0","1,2619320293766891","1,131184741234064","1,286482051668733","1,3554155207796206","-1,0340693832736005","-2,912854916243571","1,1158015423336558","0,569753703156396","1,295045211456101","0,8253533683349007","0,7571837398979123","-2,6677516989397527","2,5384857123936997"
